id,Lon,Lat,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Moho_Lloyd_Aus17_Afr,Moho_AN1_Shen_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Sus_Lloyd_Aus17_Afr,Sus_AN1_Shen_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography
119302,103.88889,26,-31.03896634,-0.011526927,-0.538245459,85.98767519,85.98767519,85.98767519,85.98767519,45.40471912,45.40471912,45.40471912,45.40471912,45.40471912,45.40471912,2201.3304,2.055555,1433.16673,319.7056251,740.0028736,663.6000711,546.7058897,-11.88826261,0.010371654,0.010357599,0.010357599,0.010357599,0.010357599,0.010357599,6.117158132,-1.787012152,38.20477815,1844.434916,0
119303,104.44444,26,-28.62434794,-0.012021874,-0.560526159,90.7831192,90.7831192,90.7831192,90.7831192,44.01862141,44.01862141,44.01862141,44.01862141,44.01862141,44.01862141,1971.6744,2,1464.83308,355.4274918,793.3634444,704.5996544,601.7521092,-11.4715963,0.008596917,0.00858774,0.00858774,0.00858774,0.00858774,0.00858774,-12.58958835,-2.296473811,38.77064511,1844.585468,0
119938,97.953488,26.5,-21.1021527,-0.007469082,-0.515822574,67.55727372,67.55727372,67.55727372,67.55727372,46.95581405,46.95581405,46.95581405,46.95581405,46.95581405,46.95581405,679.0619992,2.953488,1269.348832,75.34627113,181.8627637,184.4418508,153.7819778,99999,0.014644036,0.014664182,0.014664182,0.014664182,0.014664182,0.014664182,34.55858645,8.624991718,31.92518061,1836.367781,0
119939,98.511628,26.5,-32.88567805,-0.011923606,-0.531584392,71.91286751,71.91286751,71.91286751,71.91286751,46.29290615,46.29290615,46.29290615,46.29290615,46.29290615,46.29290615,2419.353802,3,1277.244188,87.61266994,220.9023276,205.9255941,151.0370026,98836.3383,0.01557877,0.015599099,0.015599099,0.015599099,0.015599099,0.015599099,-39.82187571,6.763897251,32.20148479,1842.717416,0
119940,99.069767,26.5,-43.53313075,-0.014580227,-0.515475627,73.95680802,73.95680802,73.95680802,73.95680802,45.95244102,45.95244102,45.95244102,45.95244102,45.95244102,45.95244102,2212.130594,3,1288.965107,42.62108348,269.0139163,245.5534631,155.1544064,43029.07676,0.011288903,0.011341317,0.011341317,0.011341317,0.011341317,0.011341317,-45.23211014,5.127042804,32.56019742,1844.80376,0
119941,99.627907,26.5,-37.46851288,-0.014374351,-0.498435562,75.45972663,75.45972663,75.45972663,75.45972663,45.91127768,45.91127768,45.91127768,45.91127768,45.91127768,45.91127768,2616.017787,3,1301.83721,17.48186237,317.9058206,286.9976802,188.0938727,10.49971032,0.014157428,0.014205846,0.014205846,0.014205846,0.014205846,0.014205846,-26.72884364,3.791137028,32.68856723,1846.336651,0
119942,100.18605,26.5,-31.00685562,-0.011231276,-0.469093602,75.14282871,75.14282871,75.14282871,75.14282871,46.87686481,46.87686481,46.87686481,46.87686481,46.87686481,46.87686481,2217.1375,3,1318.5815,59.11933065,369.4224127,334.5514535,225.1476439,8.779529156,0.004909981,0.004936673,0.004936673,0.004936673,0.004936673,0.004936673,-10.61815362,2.757680656,33.25277241,1846.007911,0
119943,100.74419,26.5,-23.75123868,-0.006292822,-0.405266964,75.75838239,75.75838239,75.75838239,75.75838239,48.51885317,48.51885317,48.51885317,48.51885317,48.51885317,48.51885317,2144.7093,3,1337.03503,104.1654686,421.5980439,383.5945393,270.4292723,13.25461354,0.004751654,0.00474867,0.00474867,0.00474867,0.00474867,0.00474867,14.26708393,1.968018378,34.68862282,1845.320698,0
119944,101.30233,26.5,-17.1063246,-0.002241021,-0.276539037,77.57276747,77.57276747,77.57276747,77.57276747,51.03048317,51.03048317,51.03048317,51.03048317,51.03048317,51.03048317,1647.443598,3,1357.68621,153.5943499,474.6213439,434.5527315,318.3023139,25.69480998,0.004527334,0.00449237,0.00449237,0.00449237,0.00449237,0.00449237,45.57376794,1.335437267,35.6593478,1844.1726,0
119945,101.86047,26.5,-10.97814353,-0.001068669,-0.177773446,80.76362256,80.76362256,80.76362256,80.76362256,51.69290306,51.69290306,51.69290306,51.69290306,51.69290306,51.69290306,1082.653098,3,1380.50021,202.7492677,528.1132615,486.6644101,368.3680237,16.93757501,0.011957103,0.011804772,0.011804772,0.011804772,0.011804772,0.011804772,55.73243737,0.776294764,36.23651695,1844.229912,0
119946,102.4186,26.5,-19.19699049,-0.00347233,-0.349091341,84.70921826,84.70921826,84.70921826,84.70921826,51.34128269,51.34128269,51.34128269,51.34128269,51.34128269,51.34128269,1968.323998,2.738375,1404.4998,251.7530749,581.8611907,539.4076781,420.0907062,-3.443275335,0.010823857,0.010759006,0.010759006,0.010759006,0.010759006,0.010759006,40.14580119,0.232129175,36.93909255,1844.948218,0
119947,102.97674,26.5,-32.19826221,-0.007283966,-0.455375552,89.64629012,89.64629012,89.64629012,89.64629012,49.67861921,49.67861921,49.67861921,49.67861921,49.67861921,49.67861921,1217.140599,2.3895375,1431.837,292.700857,635.9914546,592.9623694,472.3669352,-15.78679374,0.008942591,0.008899193,0.008899193,0.008899193,0.008899193,0.008899193,25.29336359,-0.322004428,37.6834861,1845.173618,0
