Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
121.5,-31.5,36.863,-31.52564716,-0.015116458,5.3232E-08,-0.797723276,205.0193176,205.0193176,202.324646,205.0193176,0.000152542,35.47999954,35.47999954,36.18000031,36.18000031,7.01739E-06,356.7499998,0.008943868,1,8.43113E-06,1928,3184,2226,1965,2037.750549,-1.616067648,0.019881053,0.019902568,0.019473155,0.019473155,1.41831E-07,-0.460774779,0.000873563,1.764799953,71.7442627,1803.777954,0
121.5,-31,39.886,-22.37419701,-0.013617973,4.00364E-08,-0.725632133,211.3109207,211.3109207,211.4130859,211.3109207,0.000118513,36.06500053,36.06500053,36.76499939,36.76499939,1.01184E-05,385.4999999,0.005413081,1,5.62075E-06,1984,3128.5,2170.5,1988.5,2061.891541,-24.45770729,0.021727372,0.021756164,0.021488628,0.021488628,4.23219E-08,16.15457726,0.001088044,1.011999965,74.67603683,1804.728455,0
122,-32,40.877,-53.93696213,-0.018718037,4.47493E-08,-0.895151418,198.8576202,198.8576202,186.6560059,198.8576202,0.000158476,35.30500031,35.30500031,38.51000023,38.51000023,6.39421E-06,292,0.010923924,1,1.12415E-05,1875,3237.5,2284.5,1900.5,1970.69104,-16.58846802,0.018064365,0.018088026,0.016586085,0.016586085,1.43463E-07,-53.31974792,0.000894484,1.94749999,67.69889069,1803.194,0
122,-31.5,30.696,-34.87880707,-0.016657016,4.00123E-08,-0.880792075,206.8981705,206.8981705,198.6727295,206.8981705,0.000122364,35.56500053,35.56500053,37.95499992,37.95499992,8.02266E-06,333.7500002,0.008762925,1,8.43113E-06,1930.5,3182,2229,1921.5,1995.092041,-11.00415313,0.015495617,0.015502819,0.014658446,0.014658446,1.4621E-07,-55.95175171,0.001206344,1.12530005,70.67139053,1804.501953,0
122.5,-28.5,40.402,-15.83943415,-0.006720936,3.23997E-08,-0.508508834,211.6308441,211.6308441,224.5762939,211.6308441,0.000133492,39.00999832,39.00999832,41.91999817,41.91999817,5.66891E-06,516.4999998,0.00845716,1,0,2266,2846,1899,2036,2103.878418,-2.235764503,0.022352186,0.022330208,0.020767837,0.020767837,5.09961E-08,-35.4667511,0.000400751,-0.704370022,78.8381176,1803.512939,0
123,-21,57.997,-3.004485607,0.00445648,7.82587E-08,0.307130871,189.3007622,189.3007622,158.6678925,189.3007622,0.000118828,34.09000015,34.09000015,37.98749924,37.98749924,1.50307E-05,280.0000002,0.006519582,1,1.38287E-06,2613.75,2010.75,1075.75,1684.75,1352.756958,-23.59063435,0.013934194,0.013940244,0.01244319,0.01244319,6.19514E-09,-30.14049912,0.000808575,-5.980800152,49.19212341,1785.596252,0
123,-19.5,53.386,1.18433398,0.002864745,4.62452E-08,0.196611503,172.9418716,172.9418716,163.4558105,172.9418716,0.000110416,32.92000008,32.92000008,33.57500076,33.57500076,1.23094E-05,136,0.007606174,1,3.5703E-06,2463.5,1844,911.25,1545.5,1187.257507,49.40911865,0.013263973,0.013272004,0.013037628,0.013037628,4.96706E-09,-47.01525116,0.000107077,-7.210100174,49.80448723,1781.807495,0
123,-18,65.864,10.47796917,0.006696474,5.16918E-08,0.616852431,156.797348,156.797348,187.1384888,156.797348,8.17312E-05,32.86750031,32.86750031,33.74999952,33.74999952,9.18585E-06,54.24999998,0.002560009,2,5.98396E-06,2316,1677,746.9249878,1411,1022.09198,-26.36598098,0.013295956,0.013329586,0.012994067,0.012994067,3.32433E-09,-32.99674988,0.000257778,-7.462100029,53.40494919,1790.745758,0
124,-20.5,61.823,-10.03398728,-0.002640398,4.07167E-08,-0.198316688,190.5193558,190.5193558,157.1303711,190.5193558,0.000123591,34.71000099,34.71000099,36.53999901,36.53999901,1.14165E-05,263.2500001,0.004773433,1,2.4624E-06,2520,1956.5,1040.5,1696.5,1313.942505,-72.84292603,0.013678673,0.013669508,0.012995541,0.012995541,4.48399E-09,24.03649902,0.000238998,-8.609199524,48.71951675,1784.323486,0
124,-19,54.726,13.03776836,0.002880807,4.72263E-08,0.282157521,165.7363167,165.7363167,176.2154541,165.7363167,0.000109296,33.96249962,33.96249962,35.56250095,35.56250095,1.12606E-05,182.75,0.004250873,2,2.76575E-06,2367.75,1790,878.5249939,1562.5,1150.980957,-30.64352202,0.012867405,0.012881842,0.012269447,0.012269447,4.48204E-09,6.639075279,0.000407574,-8.924699783,50.88998413,1785.977753,0
