Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Moho_Lloyd_Aus17_Afr,Moho_AN1_Shen_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Sus_Lloyd_Aus17_Afr,Sus_AN1_Shen_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography
92.5,37.5,43.85,-84.64606953,-0.043418573,-0.967605623,71.75017548,71.75017548,71.75017548,71.75017548,51.47000122,51.47000122,51.47000122,51.47000122,51.47000122,51.47000122,2829.25,3,2170,1332,1049,480.7000122,1120.913757,-11.41871738,0.005005447,0.005011335,0.005011335,0.005011335,0.005011335,0.005011335,-37.07025146,-4.279500008,32.5367527,1863.61499,0
92.5,37.5,66,-84.64606953,-0.043418573,-0.967605623,71.75017548,71.75017548,71.75017548,71.75017548,51.47000122,51.47000122,51.47000122,51.47000122,51.47000122,51.47000122,2829.25,3,2170,1332,1049,480.7000122,1120.913757,-11.41871738,0.005005447,0.005011335,0.005011335,0.005011335,0.005011335,0.005011335,-37.07025146,-4.279500008,32.5367527,1863.61499,0
92.5,38,54.9,-113.9210434,-0.045038998,-0.919313636,71.37735748,71.37735748,71.37735748,71.37735748,52.05000114,52.05000114,52.05000114,52.05000114,52.05000114,52.05000114,2722.25,3,2122.5,1380.5,1102.5,425.3000031,1128.28302,1.683568954,0.004685191,0.004683471,0.004683471,0.004683471,0.004683471,0.004683471,-45.19249725,-4.066699982,33.44667625,1860.904968,0
92.5,38.5,29,-75.05504608,-0.040770673,-0.871458224,71.00453949,71.00453949,71.00453949,71.00453949,52.63000107,52.63000107,52.63000107,52.63000107,52.63000107,52.63000107,2704,2.75,2075,1429,1156,369.8999939,1131.579773,14.78585529,0.016437354,0.016425606,0.016425606,0.016425606,0.016425606,0.016425606,-20.45072365,-3.767299891,34.91658974,1858.194946,0
93,37.5,58.25,-97.97260284,-0.045898311,-0.940807922,74.65928268,74.65928268,74.65928268,74.65928268,52.5150013,52.5150013,52.5150013,52.5150013,52.5150013,52.5150013,2757.75,3,2149,1311,1038,473.9000092,1164.554993,-8.082698107,0.004906779,0.004906171,0.004906171,0.004906171,0.004906171,0.004906171,-17.81984901,-4.118400097,33.32653427,1861.257507,0
93.5,37.5,23,-99.6140976,-0.046622127,-0.915660778,77.56838989,77.56838989,77.56838989,77.56838989,53.56000137,53.56000137,53.56000137,53.56000137,53.56000137,53.56000137,2693.25,3,2128,1290,1027,467.1000061,1199.935242,-4.746678829,0.0048165,0.004815854,0.004815854,0.004815854,0.004815854,0.004815854,10.23082542,-3.970400095,33.41473579,1858.900024,0
93.5,38,42.9,-110.4375305,-0.045674654,-0.91761201,81.70480347,81.70480347,81.70480347,81.70480347,55.5150013,55.5150013,55.5150013,55.5150013,55.5150013,55.5150013,2813.75,3,2079,1340.5,1081.5,411.6000061,1197.836487,-9.503712893,0.004397081,0.004367887,0.004367887,0.004367887,0.004367887,0.004367887,-12.6413002,-3.927599907,34.38372231,1857.005005,0
93.5,38.5,44.067,-70.61431503,-0.039260119,-0.9200878,85.84121704,85.84121704,85.84121704,85.84121704,57.47000122,57.47000122,57.47000122,57.47000122,57.47000122,57.47000122,2740.25,2.75,2030,1391,1136,356.1000061,1168.734985,-14.26074696,0.00958142,0.009527797,0.009527797,0.009527797,0.009527797,0.009527797,-7.720899582,-3.819499969,35.10266781,1855.109985,0
94,37.5,44.7,-101.2555923,-0.045436549,-0.897472273,82.46169281,82.46169281,82.46169281,82.46169281,54.08500099,54.08500099,54.08500099,54.08500099,54.08500099,54.08500099,2687,3,2107,1272,1019.5,468.1000061,1235.315491,-45.73267245,0.004703224,0.004694539,0.004694539,0.004694539,0.004694539,0.004694539,32.57949829,-3.85010004,33.50293732,1859.835022,0
94,38,29,-100.2619019,-0.043290376,-0.917881471,91.51228714,91.51228714,91.51228714,91.51228714,57.35750103,57.35750103,57.35750103,57.35750103,57.35750103,57.35750103,2767.25,3,2058,1323.25,1074.5,412.7250061,1224.324951,-46.07253516,0.004279123,0.004216373,0.004216373,0.004216373,0.004216373,0.004216373,-12.92747498,-3.882100105,34.32312393,1859.094269,0
94.5,37.5,46.633,-90.7235136,-0.043075803,-0.883666329,87.35499573,87.35499573,87.35499573,87.35499573,54.61000061,54.61000061,54.61000061,54.61000061,54.61000061,54.61000061,2795.5,3,2086,1254,1012,469.1000061,1241.660248,-86.71866608,0.004609108,0.004612899,0.004612899,0.004612899,0.004612899,0.004612899,36.36275101,-3.766799927,32.57662249,1860.77002,0
94.5,37.5,49.567,-90.7235136,-0.043075803,-0.883666329,87.35499573,87.35499573,87.35499573,87.35499573,54.61000061,54.61000061,54.61000061,54.61000061,54.61000061,54.61000061,2795.5,3,2086,1254,1012,469.1000061,1241.660248,-86.71866608,0.004609108,0.004612899,0.004612899,0.004612899,0.004612899,0.004612899,36.36275101,-3.766799927,32.57662249,1860.77002,0
94.5,38,45.5,-77.70107841,-0.040143043,-0.911962163,101.3197708,101.3197708,101.3197708,101.3197708,59.20000076,59.20000076,59.20000076,59.20000076,59.20000076,59.20000076,2847.75,3,2037,1306,1067.5,413.8500061,1209.628479,-82.64135742,0.004187653,0.004119587,0.004119587,0.004119587,0.004119587,0.004119587,-23.995924,-3.863699913,33.2224617,1861.183533,0
94.5,38.5,39,-52.8542738,-0.033824471,-0.979584611,115.2845459,115.2845459,115.2845459,115.2845459,63.79000092,63.79000092,63.79000092,63.79000092,63.79000092,63.79000092,3183,2.8125,1988,1358,1123,358.6000061,1157.618225,-78.56404877,0.006775012,0.006658082,0.006658082,0.006658082,0.006658082,0.006658082,-50.51650238,-3.907999992,33.99316216,1861.597046,0
95,36,42,-28.4798851,-0.024804519,-0.775042616,85.48601151,85.48601151,85.48601151,85.48601151,50.30500126,50.30500126,50.30500126,50.30500126,50.30500126,50.30500126,4104.500001,3,2213,1083.75,842.6500092,640.2250061,1242.467041,26.0792011,0.009699815,0.00988013,0.00988013,0.00988013,0.00988013,0.00988013,-6.471149921,-3.345499992,32.1690712,1854.738525,0
95,37.5,40.7,-80.19143486,-0.040251731,-0.875596353,88.51945114,88.51945114,88.51945114,88.51945114,54.01000023,54.01000023,54.01000023,54.01000023,54.01000023,54.01000023,3141.25,3,2066.5,1239,1009,474.3500061,1248.005005,-74.6476326,0.004643286,0.004671653,0.004671653,0.004671653,0.004671653,0.004671653,23.16785049,-3.724100113,31.65030766,1860.504517,0
95,38,54.86,-55.14025497,-0.037434846,-0.9008149,103.3672428,103.3672428,103.3672428,103.3672428,58.72000027,58.72000027,58.72000027,58.72000027,58.72000027,58.72000027,3218.25,3,2017.25,1291.75,1064.5,419.1000061,1194.932007,-59.51504278,0.004201474,0.004144049,0.004144049,0.004144049,0.004144049,0.004144049,-36.10700226,-3.874200106,32.12179947,1861.211029,0
