Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
84,39.5,52.03,-66.75177383,-0.039873417,1.60E-07,-0.882593227,91.02542496,91.02542496,91.02542496,91.02542496,0.000227903,48.60499954,48.60499954,48.60499954,48.60499954,2.08E-05,1053.5,0.004293258,1,3.02E-06,2427.5,1968,1043.5,623.3500061,555.7554932,177.1319122,0.02059289,0.020488062,0.020488062,0.020488062,3.76E-08,70.15049744,0.000655322,3.872900009,42.28913879,1833.880981,0
84,41,42.51,-90.63665009,-0.049306103,8.58E-08,-0.87185738,134.3933525,134.3933525,134.3933525,134.3933525,0.000224799,44.92999935,44.92999935,44.92999935,44.92999935,2.42E-05,940,0.000606046,1,1.12E-06,2306.5,2091,1159.5,551.2750015,693.1989746,-93.88424873,0.023380964,0.023378948,0.023378948,0.023378948,2.43E-08,-7.464250565,0.001866314,2.34190011,43,1849.676025,0
84,41.5,44.301,-70.34799385,-0.041676941,1.81E-07,-0.91558019,145.6793442,145.6793442,145.6793442,145.6793442,0.000186418,43.625,43.625,43.625,43.625,2.18E-05,934,0.000462489,1,5.62E-07,2267,2132.5,1193.5,532.9000092,742.3899841,-118.7081451,0.024045099,0.024074343,0.024074343,0.024074343,1.58E-08,-108.9502487,0.001011402,1.526100039,43,1854.731995,0
84.5,38,49.964,-31.74975967,-0.011445575,1.47E-07,-0.593167046,74.50458527,74.50458527,74.50458527,74.50458527,8.76E-05,50.52000046,50.52000046,50.52000046,50.52000046,1.18E-05,1265.75,0.001695006,2,5.33E-06,2526.5,1819.5,960.4500122,575.5499878,472.3280029,10.67567062,0.026057449,0.026065989,0.026065989,0.026065989,2.06E-07,24.09675026,0.000688183,0.536559999,35.74965477,1836.231995,0
84.5,38.5,41.223,-42.32811928,-0.020844392,1.81E-07,-0.891808623,75.0858078,75.0858078,75.0858078,75.0858078,9.61E-05,49.86000061,49.86000061,49.86000061,49.86000061,1.03E-05,1192.5,0.002381245,2,4.75E-06,2483,1858,995.4000244,625.0999756,507.7484894,64.20769501,0.020821333,0.020814968,0.020814968,0.020814968,4.49E-09,28.5407505,0.000577298,1.887799978,37.95242596,1834.692993,0
84.5,39.5,48.952,-68.66551018,-0.040621639,1.56E-07,-0.875496899,93.62353516,93.62353516,93.62353516,93.62353516,0.000250797,49.34999847,49.34999847,49.34999847,49.34999847,1.42E-05,1035.5,0.004176932,1,3.60E-06,2399,1938,1072,587.5,584.454483,75.50720215,0.021279162,0.021200058,0.021200058,0.021200058,7.84E-09,67.25299835,0.000881815,3.392100096,40.64331055,1833.760986,0
84.5,40,42.047,-84.42454147,-0.047776518,9.44E-08,-0.846305148,111.5800476,111.5800476,111.5800476,111.5800476,0.000270455,48.14499855,48.14499855,48.14499855,48.14499855,1.94E-05,973.9999998,0.010137417,1,3.03E-06,2358,1979.5,1113.5,559.25,625.7399902,-13.81694794,0.022686968,0.022587193,0.022587193,0.022587193,4.36E-08,121.8399963,0.000302598,3.386300087,41.13142395,1838.78302,0
84.5,41,44.239,-100.3393745,-0.048113742,1.02E-07,-0.88230778,140.4170303,140.4170303,140.4170303,140.4170303,0.000228476,45.56499863,45.56499863,45.56499863,45.56499863,2.40E-05,925.25,0.000447508,1,1.89E-06,2277,2062.5,1191.5,512.1999969,716.0029907,-120.2966995,0.024189895,0.024184538,0.024184538,0.024184538,1.83E-08,-7.295499802,0.001843312,2.209399939,42.35961151,1849.108521,0
84.5,41.5,43.874,-75.3717165,-0.040270566,1.86E-07,-0.901778404,151.2975006,151.2975006,151.2975006,151.2975006,0.000166839,44.18999863,44.18999863,44.18999863,44.18999863,2.33E-05,923,0.000247423,1,1.32E-06,2237,2104,1228,493.3999939,763.705246,-137.452301,0.024154004,0.024168566,0.024168566,0.024168566,1.24E-08,-104.0822449,0.000897575,1.486099958,42.67980576,1854.411987,0
84.5,42,45.997,-50.40405846,-0.029191246,2.05E-07,-0.767352162,155.1019363,155.1019363,155.1019363,155.1019363,0.000122652,43.27499962,43.27499962,43.27499962,43.27499962,1.86E-05,1122.5,0.028577105,1,7.56E-07,2198.5,2144.5,1260,477.5,811.4075012,-97.71335411,0.01979394,0.019853072,0.019853072,0.019853072,2.41E-07,-106.0267487,0.000599056,0.994509995,43,1857.984985,0
85,42,42.966,-50.7487793,-0.027848798,1.90E-07,-0.723422971,155.0292931,155.0292931,155.0292931,155.0292931,0.000124643,43.66499996,43.66499996,43.66499996,43.66499996,1.75E-05,974.75,0.012901447,1,1.51E-06,2168.75,2116.75,1293.25,437.4499969,831.2340088,-105.5247965,0.00966751,0.009690467,0.009690467,0.009690467,2.65E-07,-98.29425049,0.000464653,1.090499997,43,1857.800751,0
87,39,56.248,-76.22538757,-0.030588836,1.51E-07,-0.765225951,89.64309502,89.64309502,89.64309502,89.64309502,0.000188416,48.85749912,48.85749912,48.85749912,48.85749912,8.87E-06,972.0000001,0.002982423,2,4.16E-06,2303,1755.5,1201.5,474.6249924,714.6989746,80.38839912,0.024295256,0.024289891,0.024289891,0.024289891,1.97E-08,-41.19449997,0.000748583,0.185389996,35.26480484,1839.881226,0
87.5,39.5,52.318,-84.08406067,-0.035141955,8.68E-08,-0.748617894,99.12789917,99.12789917,99.12789917,99.12789917,0.000292588,48.41999817,48.41999817,48.41999817,48.41999817,6.51E-06,882.4999997,0.013059606,2,3.84E-06,2232,1768,1268,402,782.2019959,91.33181763,0.023094894,0.023090879,0.023090879,0.023090879,1.97E-08,57.86849976,0.001843698,0.744390011,36.96655846,1838.844971,0
88,40,49.056,-80.4808197,-0.033824172,6.39E-08,-0.738063172,117.4704819,117.4704819,117.4704819,117.4704819,0.000257465,48.13499928,48.13499928,48.13499928,48.13499928,7.23E-06,848.9999995,0.015391981,2,3.70E-06,2162.5,1783.75,1336.25,335.0749969,846.4520264,57.78844166,0.024637729,0.024625291,0.024625291,0.024625291,6.99E-08,158.2675018,0.001293984,1.088500023,39.38987732,1842.890228,0
