dataset,id,Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography,x,y
test,2264,134.08696,-17,68,-2.429839827,0.000655596,0.091343293,182.9262495,182.9262495,217.368588,182.9262495,46.71967621,46.71967621,47.51708848,47.51708848,231.7824,1,1944.60872,1726.67384,999.2457931,1085.24996,1236.690854,22.83987895,0.014271369,0.014183394,0.013835407,0.013835407,3.076288424,3.098706514,83.1706283,1798.348919,0,402810,8120219
test,2265,134.6087,-17,68,12.73846361,0.00308867,0.377489468,177.9873546,177.9873546,219.0787862,177.9873546,46.7901034,46.7901034,50.20097593,50.20097593,271.8460001,1,1945.4347,1716.42385,1020.86651,1079.8478,1262.872814,23.03502994,0.014580074,0.014513024,0.013349806,0.013349806,1.184466199,2.757296654,79.22135918,1798.802784,0,458348,8120403
test,2266,135.13043,-17,68,25.3924694,0.005513418,0.509663304,177.1645089,177.1645089,220.0796072,177.1645089,46.16663522,46.16663522,49.86967726,49.86967726,260.9660999,1,1935.52183,1708.858765,1044.944347,1076.71742,1289.958143,4.666906867,0.014772711,0.014676275,0.013361151,0.013361151,31.4800056,2.341921564,75.67576616,1798.686426,0,513883,8120440
test,2267,135.65217,-17,68,30.50435968,0.006807104,0.50770344,177.8580535,177.8580535,220.8191096,177.8580535,45.29131421,45.29131421,48.65654708,48.65654708,175.5962999,1,1913.89168,1702.13047,1070.293265,1064.106791,1319.755726,-15.13543648,0.030524732,0.030420902,0.027874061,0.027874061,42.63631598,1.892759874,73.34096056,1798.374681,0,569420,8120329
test,2268,136.17391,-17,68,29.79180224,0.00690689,0.439127742,182.2344407,182.2344407,220.9239098,182.2344407,43.804356,43.804356,45.30175872,45.30175872,190.5284997,1,1863.80464,1697.43481,1098.728095,1028.471955,1350.47262,-38.42016582,0.044291038,0.044272252,0.042837975,0.042837975,26.74535512,1.47961078,71.8459641,1797.588409,0,624962,8120071
test,2269,136.69565,-17,68,17.43001449,0.006462171,0.358731132,184.8643182,184.8643182,220.0729757,184.8643182,42.45630912,42.45630912,42.68750558,42.68750558,187.0565003,1,1813.52195,1688.04355,1128.04335,987.5839099,1383.02819,-44.07292986,0.045697383,0.045803354,0.045772316,0.045772316,4.41545493,1.185413856,72.03063423,1797.189329,0,680512,8119664
test,2270,137.21739,-17,68,12.19371009,0.006288644,0.310367482,184.5832867,184.5832867,217.6291187,184.5832867,41.33978584,41.33978584,41.30750305,41.30750305,191.0660002,1,1762.91317,1670.82613,1158.82601,937.9403362,1390.679097,-20.33848429,0.04693165,0.047097533,0.047244322,0.047244322,-12.09800152,1.075239093,71.25386379,1797.435582,0,736075,8119109
test,2271,137.73913,-17,68,16.93321347,0.007032232,0.31751251,182.1676141,182.1676141,214.0171312,182.1676141,40.45641394,40.45641394,40.2443484,40.2443484,191.5113002,1,1712.663085,1651.21741,1190.923885,888.9782917,1363.463019,-4.718928821,0.01754563,0.017600857,0.017600275,0.017600275,-22.80735144,1.167038923,69.13105884,1797.307611,0,791655,8118406
test,2272,138.26087,-17,68,24.95086027,0.0088801,0.38080595,177.2291678,177.2291678,209.0246169,177.2291678,39.84858636,39.84858636,39.55565275,39.55565275,19.84780001,1,1662.836915,1628.78259,1224.576115,840.8216961,1328.728937,1.310240276,0.009988159,0.010010172,0.010078035,0.010078035,-24.165441,1.419508946,67.50920741,1796.737372,0,847254,8117554
test,2273,138.78261,-17,68,36.24665049,0.010819763,0.466496397,172.9500615,172.9500615,205.0543474,172.9500615,39.31282464,39.31282464,38.89663049,38.89663049,9.271700007,1,1613.43466,1608.184735,1259.7827,792.3683548,1286.47685,31.47702917,0.010124175,0.01013605,0.010246108,0.010246108,-9.426171153,1.742044318,66.3883095,1796.053789,0,902878,8116553
